City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,zuni pueblo,35.0725,-108.8506,280.5,46,0,3.68,US,1711791082
164,kodiak,57.79,-152.4072,275.88,87,100,1.54,US,1711791082
165,prince rupert,54.3161,-130.3201,280.2,87,100,3.09,CA,1711791009
166,cabedelo,-6.9811,-34.8339,298.52,87,100,3.13,BR,1711791083
167,carutapera,-1.195,-46.02,297.12,96,99,0.88,BR,1711791083
168,lata,40.1629,-8.3327,285.09,70,100,3.47,PT,1711791083
169,solnechnyy,50.7214,136.6319,272.06,96,100,2.35,RU,1711791083
170,badger,64.8,-147.5333,272.08,67,75,2.57,US,1711791083
171,pierre,44.3683,-100.351,275.85,73,100,4.12,US,1711790846
172,mamers,48.3333,0.25,280.63,89,100,3.26,FR,1711791084
173,jalpa,21.6333,-102.9667,288.83,23,0,1.14,MX,1711791084
174,vryburg,-26.9566,24.7284,302.18,26,0,4.78,ZA,1711791084
175,portland,45.5234,-122.6762,282.17,78,0,3.6,US,1711790989
176,port saint john's,-31.6229,29.5448,297.5,65,98,6.62,ZA,1711791084
177,lincoln,40.8,-96.667,278.1,74,0,6.17,US,1711790930
178,chalisgaon,20.4667,75.0167,308.34,23,83,0.34,IN,1711791084
179,faya-largeau,17.9257,19.1043,310.09,6,0,8.23,TD,1711791084
180,monrovia,6.3005,-10.7969,300.02,80,100,2.36,LR,1711790817
181,buala,-8.145,159.5921,300.35,85,98,1.86,SB,1711791085
182,hammerfest,70.6634,23.6821,269.4,50,75,3.09,NO,1711791085
183,mamuju,-2.6748,118.8885,300.78,84,81,0.62,ID,1711791085
184,zeya,53.75,127.2667,270.64,75,100,3.87,RU,1711791085
185,tiksi,71.6872,128.8694,251.5,94,96,3.01,RU,1711791085
186,andkhoy,36.9529,65.1238,289.55,25,64,1.74,AF,1711791085
187,les avirons,-21.2418,55.3394,300.2,70,75,2.06,RE,1711791085
188,yuzhno-kurilsk,44.0306,145.8556,277.8,92,100,2.5,RU,1711791085
189,sulphur springs,33.1385,-95.6011,289.3,72,100,4.63,US,1711791086
190,revda,56.801,59.9303,274.4,90,100,6.23,RU,1711791086
191,richards bay,-28.783,32.0377,298.74,53,77,3.44,ZA,1711791086
192,polyarnyy,69.1989,33.4478,268.9,87,99,1.54,RU,1711791086
193,jamestown,42.097,-79.2353,271.18,97,0,2.06,US,1711791086
194,saipan,15.1355,145.701,300.54,78,40,7.72,MP,1711791086
195,swift current,50.2834,-107.8014,265.6,79,100,1.03,CA,1711790925
196,lagoa,39.05,-27.9833,286.81,87,100,11.72,PT,1711791087
197,kuqa,41.7278,82.9364,296.14,14,17,3.29,CN,1711790961
198,kangding,30.0513,101.9603,285.14,80,95,2.22,CN,1711791087
199,amungan,15.3652,119.9582,301.76,77,100,2.1,PH,1711791087
200,wailua homesteads,22.0669,-159.378,295.59,85,40,6.17,US,1711791087
201,gaspe,48.8334,-64.4819,275.1,100,100,0.0,CA,1711790860
202,nadym,65.5333,72.5167,267.96,91,100,1.64,RU,1711791088
203,ouallam,14.3188,2.0866,311.89,8,91,6.72,NE,1711791088
204,uliastay,47.7417,96.8444,280.1,60,99,1.64,MN,1711791088
205,san juan de miraflores,-12.1629,-76.9635,294.91,83,66,2.01,PE,1711791088
206,qarauyl,48.9451,79.255,280.09,53,100,9.45,KZ,1711791089
207,cusco,-13.5183,-71.9781,281.28,93,100,1.54,PE,1711791089
208,vadso,70.0744,29.7487,273.24,51,99,0.51,NO,1711791089
209,seydi,39.4816,62.9137,287.34,18,0,2.28,TM,1711791089
210,taoudenni,22.6783,-3.9836,301.72,17,2,4.78,ML,1711791089
211,turuntayevo,52.2,107.6167,275.2,44,91,0.79,RU,1711791089
212,wayne,42.2506,-83.2833,277.14,79,100,1.54,US,1711790556
213,lazaro cardenas,17.9583,-102.2,293.89,62,0,1.52,MX,1711791089
214,lunglei,22.8833,92.7333,303.78,34,96,3.5,IN,1711791090
215,at taj,24.2049,23.2857,301.42,9,0,4.34,LY,1711791003
216,westport,41.1415,-73.3579,278.57,61,75,2.68,US,1711790809
217,arlington,32.7357,-97.1081,291.65,73,100,7.2,US,1711790802
218,xinmin,41.9908,122.8253,279.54,20,0,4.14,CN,1711791090
219,lebu,-37.6167,-73.65,284.2,75,91,7.57,CL,1711791091
220,kingston,17.997,-76.7936,299.68,83,75,4.12,JM,1711791091
221,punta arenas,-53.15,-70.9167,277.21,75,0,7.2,CL,1711790908
